"id","dt","isworkday","isholiday"
152,2020-05-31 00:00:00.000,false,false
153,2020-06-01 00:00:00.000,true,false
154,2020-06-02 00:00:00.000,true,false
155,2020-06-03 00:00:00.000,true,false
156,2020-06-04 00:00:00.000,true,false
157,2020-06-05 00:00:00.000,true,false
158,2020-06-06 00:00:00.000,false,false
159,2020-06-07 00:00:00.000,false,false
160,2020-06-08 00:00:00.000,true,false
161,2020-06-09 00:00:00.000,true,false
162,2020-06-10 00:00:00.000,true,false
163,2020-06-11 00:00:00.000,true,false
164,2020-06-12 00:00:00.000,false,true
165,2020-06-13 00:00:00.000,false,false
166,2020-06-14 00:00:00.000,false,false
167,2020-06-15 00:00:00.000,true,false
168,2020-06-16 00:00:00.000,true,false
169,2020-06-17 00:00:00.000,true,false
170,2020-06-18 00:00:00.000,true,false
171,2020-06-19 00:00:00.000,true,false
172,2020-06-20 00:00:00.000,false,false
173,2020-06-21 00:00:00.000,false,false
174,2020-06-22 00:00:00.000,true,false
175,2020-06-23 00:00:00.000,true,false
176,2020-06-24 00:00:00.000,true,false
177,2020-06-25 00:00:00.000,true,false
178,2020-06-26 00:00:00.000,true,false
179,2020-06-27 00:00:00.000,false,false
180,2020-06-28 00:00:00.000,false,false
181,2020-06-29 00:00:00.000,true,false
182,2020-06-30 00:00:00.000,true,false
183,2020-07-01 00:00:00.000,true,false
184,2020-07-02 00:00:00.000,true,false
185,2020-07-03 00:00:00.000,true,false
186,2020-07-04 00:00:00.000,false,false
187,2020-07-05 00:00:00.000,false,false
188,2020-07-06 00:00:00.000,true,false
189,2020-07-07 00:00:00.000,true,false
190,2020-07-08 00:00:00.000,true,false
191,2020-07-09 00:00:00.000,true,false
192,2020-07-10 00:00:00.000,true,false
193,2020-07-11 00:00:00.000,false,false
194,2020-07-12 00:00:00.000,false,false
195,2020-07-13 00:00:00.000,true,false
196,2020-07-14 00:00:00.000,true,false
197,2020-07-15 00:00:00.000,true,false
198,2020-07-16 00:00:00.000,true,false
199,2020-07-17 00:00:00.000,true,false
200,2020-07-18 00:00:00.000,false,false
201,2020-07-19 00:00:00.000,false,false
202,2020-07-20 00:00:00.000,true,false
203,2020-07-21 00:00:00.000,true,false
204,2020-07-22 00:00:00.000,true,false
205,2020-07-23 00:00:00.000,true,false
206,2020-07-24 00:00:00.000,true,false
207,2020-07-25 00:00:00.000,false,false
208,2020-07-26 00:00:00.000,false,false
209,2020-07-27 00:00:00.000,true,false
210,2020-07-28 00:00:00.000,true,false
211,2020-07-29 00:00:00.000,true,false
212,2020-07-30 00:00:00.000,true,false
213,2020-07-31 00:00:00.000,true,false
214,2020-08-01 00:00:00.000,false,false
215,2020-08-02 00:00:00.000,false,false
216,2020-08-03 00:00:00.000,true,false
217,2020-08-04 00:00:00.000,true,false
218,2020-08-05 00:00:00.000,true,false
219,2020-08-06 00:00:00.000,true,false
220,2020-08-07 00:00:00.000,true,false
221,2020-08-08 00:00:00.000,false,false
222,2020-08-09 00:00:00.000,false,false
223,2020-08-10 00:00:00.000,true,false
224,2020-08-11 00:00:00.000,true,false
225,2020-08-12 00:00:00.000,true,false
226,2020-08-13 00:00:00.000,true,false
227,2020-08-14 00:00:00.000,true,false
228,2020-08-15 00:00:00.000,false,false
229,2020-08-16 00:00:00.000,false,false
230,2020-08-17 00:00:00.000,true,false
231,2020-08-18 00:00:00.000,true,false
232,2020-08-19 00:00:00.000,true,false
233,2020-08-20 00:00:00.000,true,false
234,2020-08-21 00:00:00.000,true,false
235,2020-08-22 00:00:00.000,false,false
236,2020-08-23 00:00:00.000,false,false
237,2020-08-24 00:00:00.000,true,false
238,2020-08-25 00:00:00.000,true,false
239,2020-08-26 00:00:00.000,true,false
240,2020-08-27 00:00:00.000,true,false
241,2020-08-28 00:00:00.000,true,false
242,2020-08-29 00:00:00.000,false,false
243,2020-08-30 00:00:00.000,false,false
244,2020-08-31 00:00:00.000,true,false
245,2020-09-01 00:00:00.000,true,false
246,2020-09-02 00:00:00.000,true,false
247,2020-09-03 00:00:00.000,true,false
248,2020-09-04 00:00:00.000,true,false
249,2020-09-05 00:00:00.000,false,false
250,2020-09-06 00:00:00.000,false,false
251,2020-09-07 00:00:00.000,true,false
252,2020-09-08 00:00:00.000,true,false
253,2020-09-09 00:00:00.000,true,false
254,2020-09-10 00:00:00.000,true,false
255,2020-09-11 00:00:00.000,true,false
256,2020-09-12 00:00:00.000,false,false
257,2020-09-13 00:00:00.000,false,false
258,2020-09-14 00:00:00.000,true,false
259,2020-09-15 00:00:00.000,true,false
260,2020-09-16 00:00:00.000,true,false
261,2020-09-17 00:00:00.000,true,false
262,2020-09-18 00:00:00.000,true,false
263,2020-09-19 00:00:00.000,false,false
264,2020-09-20 00:00:00.000,false,false
265,2020-09-21 00:00:00.000,true,false
266,2020-09-22 00:00:00.000,true,false
267,2020-09-23 00:00:00.000,true,false
268,2020-09-24 00:00:00.000,true,false
269,2020-09-25 00:00:00.000,true,false
270,2020-09-26 00:00:00.000,false,false
271,2020-09-27 00:00:00.000,false,false
272,2020-09-28 00:00:00.000,true,false
273,2020-09-29 00:00:00.000,true,false
274,2020-09-30 00:00:00.000,true,false
275,2020-10-01 00:00:00.000,true,false
276,2020-10-02 00:00:00.000,true,false
277,2020-10-03 00:00:00.000,false,false
278,2020-10-04 00:00:00.000,false,false
279,2020-10-05 00:00:00.000,true,false
280,2020-10-06 00:00:00.000,true,false
281,2020-10-07 00:00:00.000,true,false
282,2020-10-08 00:00:00.000,true,false
283,2020-10-09 00:00:00.000,true,false
284,2020-10-10 00:00:00.000,false,false
285,2020-10-11 00:00:00.000,false,false
286,2020-10-12 00:00:00.000,true,false
287,2020-10-13 00:00:00.000,true,false
288,2020-10-14 00:00:00.000,true,false
289,2020-10-15 00:00:00.000,true,false
290,2020-10-16 00:00:00.000,true,false
291,2020-10-17 00:00:00.000,false,false
292,2020-10-18 00:00:00.000,false,false
293,2020-10-19 00:00:00.000,true,false
294,2020-10-20 00:00:00.000,true,false
295,2020-10-21 00:00:00.000,true,false
296,2020-10-22 00:00:00.000,true,false
297,2020-10-23 00:00:00.000,true,false
298,2020-10-24 00:00:00.000,false,false
299,2020-10-25 00:00:00.000,false,false
300,2020-10-26 00:00:00.000,true,false
301,2020-10-27 00:00:00.000,true,false
302,2020-10-28 00:00:00.000,true,false
303,2020-10-29 00:00:00.000,true,false
304,2020-10-30 00:00:00.000,true,false
305,2020-10-31 00:00:00.000,false,false
306,2020-11-01 00:00:00.000,false,false
307,2020-11-02 00:00:00.000,true,false
